Nr.crt.,Numar Anunt,Data Publicare,Denumire Autoritate contractanta,CUI,Judet,Tip Contract,Utilitati,Tip Procedura,Criteriu Atribuire,Valoare Estimata,Moneda,Modalitate Desfasurare,Trimis la OJEU,Fonduri Comunitare,Cod CPV,Denumire Cod CPV
16,141400,05.01.2013 01:30,INSTITUTUL NATIONAL DE STATISTICA,7593088,Bucuresti,Servicii,NU,Licitatie deschisa,Oferta cea mai avantajoasa d.p.d.v. economic,"18,858,300.00",RON,Online,DA,DA,72000000-5,"Servicii IT: consultanta, dezvoltare de software, internet si asistenta (Rev.2)"
17,141368,05.01.2013 01:30,Ministerul Agriculturii si Dezvoltarii Rurale,4221187,Bucuresti,Servicii,NU,Licitatie deschisa,Pretul cel mai scazut,"1,089,672.00",RON,Offline,DA,DA,72310000-1,Servicii de procesare de date (Rev.2)
18,141383,05.01.2013 01:30,Autoritatea Nationala pentru Administrare si Reglementare in Comunicatii,14751237,Bucuresti,Furnizare,NU,Licitatie deschisa,Oferta cea mai avantajoasa d.p.d.v. economic,"1,180,850.00",RON,Offline,DA,NU,38424000-3,Echipament de masurare si de control (Rev.2)
19,141385,05.01.2013 01:30,"SPITALUL JUDETEAN DE URGENTA""SFANTUL IOAN CEL NOU""SUCEAVA",4243983,Suceava,Servicii,NU,Licitatie deschisa,Pretul cel mai scazut,"2,400,320.00",RON,Offline,DA,NU,85150000-5,Servicii de imagistica medicala (Rev.2)
20,141392,05.01.2013 01:30,SOCIETATEA COMERCIALA  AQUACARAS S.A.  RESITA,R 16868757,Caras-Severin,Lucrari,DA,Licitatie deschisa,Oferta cea mai avantajoasa d.p.d.v. economic,"27,295,822.00",RON,Offline,DA,DA,45232420-2,Lucrari de constructii de statii de epurare a apelor reziduale (Rev.2)
21,141382,05.01.2013 01:30,Autoritatea Nationala pentru Administrare si Reglementare in Comunicatii,14751237,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"1,672,000.00",RON,Offline,DA,NU,38433300-2,Analizoare de spectru (Rev.2)
22,141409,07.01.2013 11:50,COMPANIA NATIONALA ADMINISTRATIA CANALELOR NAVIGABILE SA CONSTANTA,RO 11087755,Constanta,Furnizare,DA,Licitatie deschisa,Pretul cel mai scazut,"707,375.59",RON,Offline,NU,NU,43134100-2,Pompe submersibile (Rev.2)
23,141406,07.01.2013 11:53,CONPET SA PLOIESTI,RO 1350020,Prahova,Servicii,DA,Licitatie deschisa,Pretul cel mai scazut,"110,000.00",RON,Offline,NU,NU,50222000-7,Servicii de reparare si de intretinere a materialului rulant (Rev.2)
24,141398,07.01.2013 11:53,REGIA NATIONALA A PADURILOR - ROMSILVA RA,RO1590120,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"264,150.00",RON,Offline,NU,NU,18823000-4,Incaltaminte pentru munte (Rev.2)
25,141396,07.01.2013 11:54,SPITALUL JUDETEAN SATU MARE,3963722,Satu Mare,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"228,157.34",RON,Online,NU,NU,33630000-5,Medicamente utilizate in dermatologie si pentru sistemul musculo-scheletic (Rev.2)
26,141395,07.01.2013 12:14,"COMPANIA NATIONALA DE TRANSPORT AL ENERGIEI ELECTRICE ""TRANSELECTRICA"" S.A.",RO 13328043,Bucuresti,Lucrari,DA,Licitatie deschisa,Pretul cel mai scazut,"612,000.00",RON,Offline,NU,NU,45310000-3,Lucrari de instalatii electrice (Rev.2)
27,141405,07.01.2013 12:16,Electrocentrale Bucuresti S.A.,RO 15189596,Bucuresti,Servicii,DA,Licitatie deschisa,Pretul cel mai scazut,"103,989.70",RON,Online,NU,NU,50532300-6,Servicii de reparare si de intretinere a generatoarelor (Rev.2)
28,141394,07.01.2013 12:18,"Spitalul Clinic Judetean de Urgenta""Sfantul Apostol Andrei""",3126853,Galati,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"177,094.00",RON,Online,NU,NU,33140000-3,Consumabile medicale (Rev.2)
29,141397,07.01.2013 12:23,S.C Filiala de Distributie a Energiei  Electrice - Electrica Distributie Muntenia Nord S.A.,RO14506181,Prahova,Furnizare,DA,Licitatie deschisa,Pretul cel mai scazut,"607,914.90",RON,Offline,NU,NU,44318000-2,Conductori (Rev.2)
30,141390,07.01.2013 12:39,S.C. NOVA APASERV S.A. Botosani,RO26161230,Botosani,Furnizare,DA,Licitatie deschisa,Pretul cel mai scazut,"616,382.90",RON,Offline,NU,NU,24313123-9,Sulfat de aluminiu (Rev.2)
31,141399,07.01.2013 12:40,Societatea Comerciala  COMPLEXUL ENERGETIC OLTENIA SA,RO 30267310,Gorj,Furnizare,DA,Licitatie deschisa,Pretul cel mai scazut,"108,300.00",RON,Offline,NU,NU,34631000-9,Piese pentru locomotive sau material rulant (Rev.2)
32,141391,07.01.2013 12:55,S.C. DALKIA TERMO PRAHOVA S.R.L.,RO16372612,Prahova,Servicii,DA,Negociere,Pretul cel mai scazut,"360,000.00",RON,Offline,NU,NU,60112000-6,Servicii de transport rutier public (Rev.2)
33,141422,07.01.2013 14:23,SPITAL CLINIC DE BOLI INFECTIOASE IASI,4541521,Iasi,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"558,347.23",RON,Online,NU,NU,33651100-9,Antibacterieni pentru uz sistemic (Rev.2)
34,141419,07.01.2013 15:14,Societatea Comerciala  COMPLEXUL ENERGETIC OLTENIA SA,RO 30267310,Gorj,Furnizare,DA,Licitatie deschisa,Pretul cel mai scazut,"9,831.00",RON,Offline,NU,NU,43200000-5,"Utilaje pentru terasamente, utilaje de excavare si piese ale acestora (Rev.2)"
35,141404,08.01.2013 01:30,ORASUL PANCIU,4447320,Vrancea,Servicii,NU,Negociere accelerata,Pretul cel mai scazut,"4,200,000.00",RON,Offline,DA,NU,66113000-5,Servicii de acordare de credit (Rev.2)
36,141423,08.01.2013 01:30,COMUNA RUNCU,4344473,Dambovita,Servicii,NU,Licitatie deschisa,Pretul cel mai scazut,"1,427,204.00",RON,Offline,DA,NU,66113000-5,Servicii de acordare de credit (Rev.2)
37,141410,08.01.2013 01:30,DIRECTIA GENERALA LOGISTICA,4267060,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"19,087,741.94",RON,Offline,DA,NU,09132100-4,Benzina fara plumb (Rev.2)
38,141411,08.01.2013 01:30,"Asociatia de Dezvoltare Intercomunitara ""Valea Somesului""",24130784,Salaj,Furnizare,NU,Licitatie deschisa,Oferta cea mai avantajoasa d.p.d.v. economic,"218,490.00",RON,Offline,DA,DA,43262000-7,Utilaje excavatoare (Rev.2)
39,141407,08.01.2013 01:30,MINISTERUL EDUCATIEI SI CERCETARII STIINTIFICE,13729380,Bucuresti,Furnizare,NU,Licitatie deschisa,Oferta cea mai avantajoasa d.p.d.v. economic,"1,608,700.00",RON,Offline,DA,DA,30213100-6,Computere portabile (Rev.2)
40,141402,08.01.2013 01:30,Societatea Nationala de Gaze Naturale Romgaz S.A.,RO 14056826,Sibiu,Lucrari,DA,Licitatie deschisa,Pretul cel mai scazut,"46,346,360.00",RON,Offline,DA,NU,45255121-3,Lucrari de constructii de instalatii de suprafata (Rev.2)
41,141417,08.01.2013 10:28,"Compania Nationala de Cai Ferate ""CFR"" - SA",RO 11054529,Bucuresti,Furnizare,DA,Licitatie deschisa,Pretul cel mai scazut,"64,047.58",RON,Offline,NU,NU,22800000-8,"Registre, registre contabile, clasoare, formulare si alte articole imprimate de papetarie din hartie sau din carton (Rev.2)"
42,141416,08.01.2013 10:29,REGIA NATIONALA A PADURILOR - ROMSILVA RA,RO1590120,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"498,020.00",RON,Online,NU,NU,18823000-4,Incaltaminte pentru munte (Rev.2)
43,141420,08.01.2013 10:43,REGIA NATIONALA A PADURILOR - ROMSILVA RA,RO1590120,Bucuresti,Servicii,NU,Licitatie deschisa,Pretul cel mai scazut,"19,500.00",RON,Offline,NU,NU,66516100-1,Servicii de asigurare de raspundere civila auto (Rev.2)
44,141415,08.01.2013 10:45,Compania Nationala a Uraniului - S.A. Bucuresti,10254529,Bucuresti,Servicii,DA,Licitatie deschisa,Pretul cel mai scazut,"9,441.52",RON,Offline,NU,NU,50112000-3,Servicii de reparare si de intretinere a automobilelor (Rev.2)
45,141421,08.01.2013 10:56,"UNIVERSITATEA ""BABES-BOLYAI""",4305849,Cluj,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"399,758.07",RON,Online,NU,NU,30213000-5,Computere personale (Rev.2)
46,141412,08.01.2013 11:26,"ADMINISTRATIA SCOLILOR , LICEELOR SI GRADINITELOR SECTOR 4",26618499,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"536,403.00",RON,Offline,NU,NU,03222321-9,Mere (Rev.2)
47,141427,08.01.2013 11:30,Societatea Comerciala  COMPLEXUL ENERGETIC OLTENIA SA,RO 30267310,Gorj,Servicii,DA,Licitatie deschisa,Pretul cel mai scazut,"14,400.00",RON,Offline,NU,NU,50531100-7,Servicii de reparare si de intretinere a boilerelor (Rev.2)
48,141431,08.01.2013 14:30,COMUNA BOTESTI (CONSILIUL LOCAL),2613656,Neamt,Lucrari,NU,Licitatie deschisa,Oferta cea mai avantajoasa d.p.d.v. economic,"3,172,218.00",RON,Offline,NU,NU,45233120-6,Lucrari de constructii de drumuri (Rev.2)
49,141424,09.01.2013 01:30,"UNIVERSITATEA ""BABES-BOLYAI""",4305849,Cluj,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"988,806.00",RON,Online,DA,NU,09134200-9,Motorina (Rev.2)
50,141425,09.01.2013 01:30,S.C. APA-CANAL ILFOV S.A.,25709173,Bucuresti,Servicii,DA,Negociere,Pretul cel mai scazut,"3,650,000.00",EUR,Offline,DA,NU,66113000-5,Servicii de acordare de credit (Rev.2)
51,141430,09.01.2013 01:30,"MINISTERUL MUNCII , FAMILIEI, PROTECTIEI SOCIALE SI PERSOANELOR VARSTNICE",4266669,Bucuresti,Servicii,NU,Licitatie deschisa,Oferta cea mai avantajoasa d.p.d.v. economic,"1,868,870.00",RON,Offline,DA,DA,79952000-2,Servicii pentru evenimente (Rev.2)
52,141428,09.01.2013 01:30,"Universitatea ""Alexandru Ioan Cuza"" Iasi",4701126,Iasi,Furnizare,NU,Licitatie deschisa,Oferta cea mai avantajoasa d.p.d.v. economic,"703,516.00",RON,Offline,DA,DA,30211100-2,Supercomputer (Rev.2)
53,141426,09.01.2013 01:30,Societatea Comerciala  COMPLEXUL ENERGETIC OLTENIA SA,RO 30267310,Gorj,Furnizare,DA,Licitatie deschisa,Pretul cel mai scazut,"2,484,939.44",RON,Offline,DA,NU,31340000-1,"Accesorii de cablu, izolate (Rev.2)"
54,141433,10.01.2013 01:30,Societatea Nationala NUCLEARELECTRICA S.A.,10874881,Bucuresti,Servicii,DA,Licitatie restransa,Oferta cea mai avantajoasa d.p.d.v. economic,"16,090,000.00",RON,Offline,DA,NU,79713000-5,Servicii de paza (Rev.2)
55,141434,10.01.2013 01:30,SPITALUL JUDETEAN DE URGENTA BUZAU,4055750,Buzau,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"2,173,220.00",RON,Offline,DA,NU,24455000-8,Dezinfectanti (Rev.2)
56,141435,10.01.2013 01:30,Comuna Stauceni (Primaria Comunei Stauceni),3372084,Botosani,Servicii,NU,Negociere accelerata,Pretul cel mai scazut,"1,145,659.00",RON,Offline,DA,NU,66113000-5,Servicii de acordare de credit (Rev.2)
57,141437,10.01.2013 09:15,Societatea Comerciala  COMPLEXUL ENERGETIC OLTENIA SA,RO 30267310,Gorj,Servicii,DA,Licitatie deschisa,Pretul cel mai scazut,"1,177,000.00",RON,Offline,NU,NU,50221000-0,Servicii de reparare si de intretinere a locomotivelor (Rev.2)
58,141448,10.01.2013 16:05,"SNTFC ""CFR CALATORI"" S.A.",RO 11054545,Bucuresti,Furnizare,DA,Negociere,Pretul cel mai scazut,"1,675,000.00",RON,Offline,NU,NU,18800000-7,Articole de incaltaminte (Rev.2)
59,141436,11.01.2013 01:30,Universitatea din Oradea,4287939,Bihor,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"720,003.24",RON,Online,DA,NU,09134200-9,Motorina (Rev.2)
60,141438,11.01.2013 01:30,SPITAL CLINIC DE BOLI INFECTIOASE IASI,4541521,Iasi,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"2,162,615.00",RON,Offline,DA,NU,33696500-0,Reactivi de laborator (Rev.2)
61,141451,11.01.2013 01:30,Institutul Cultural Roman,15726657,Bucuresti,Servicii,NU,Licitatie deschisa,Pretul cel mai scazut,"900,000.00",EUR,Offline,DA,NU,60410000-5,Servicii de transport aerian pe baza de grafic (Rev.2)
62,141442,11.01.2013 01:30,CENTRUL DE CERCETARE DEZVOLTARE PENTRU CULTURA PLANTELOR PE NISIPURI DABULENI,RO 2281069,Dolj,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"579,090.00",RON,Offline,DA,NU,24410000-1,Ingrasaminte azotate (Rev.2)
63,141443,11.01.2013 01:30,VITAL S.A.  BAIA MARE,RO9710087,Maramures,Lucrari,DA,Licitatie deschisa,Pretul cel mai scazut,"30,601,174.00",RON,Offline,DA,DA,45000000-7,Lucrari de constructii (Rev.2)
64,141440,11.01.2013 01:30,Autoritatea Nationala pentru Administrare si Reglementare in Comunicatii,14751237,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"1,975,050.00",RON,Offline,DA,NU,38433300-2,Analizoare de spectru (Rev.2)
65,141444,11.01.2013 11:01,REGIA NATIONALA A PADURILOR - ROMSILVA RA,RO1590120,Bucuresti,Servicii,NU,Licitatie deschisa,Pretul cel mai scazut,"23,262.00",RON,Online,NU,NU,66516000-0,Servicii de asigurare de raspundere civila (Rev.2)
66,141447,11.01.2013 11:10,S.C Filiala de Distributie a Energiei  Electrice - Electrica Distributie Muntenia Nord S.A.,RO14506181,Prahova,Servicii,DA,Licitatie deschisa,Pretul cel mai scazut,"242,500.00",RON,Offline,NU,NU,50324200-4,Servicii de intretinere preventiva (Rev.2)
67,141454,11.01.2013 11:18,Societatea Comerciala  COMPLEXUL ENERGETIC OLTENIA SA,RO 30267310,Gorj,Furnizare,DA,Licitatie deschisa,Pretul cel mai scazut,"100,111.00",RON,Offline,NU,NU,44322200-5,Racorduri de cabluri (Rev.2)
68,141460,11.01.2013 15:22,ACET S.A. Suceava,RO713519,Suceava,Furnizare,DA,Licitatie deschisa,Pretul cel mai scazut,"329,880.00",RON,Offline,NU,DA,48000000-8,Pachete software si sisteme informatice (Rev.2)
69,141446,12.01.2013 01:30,E. ON MOLDOVA DISTRIBUTIE S.A.,RO 14493197,Iasi,Servicii,DA,Negociere,Pretul cel mai scazut,"3,000,000.00",RON,Offline,DA,NU,60182000-7,Inchiriere de vehicule industriale cu sofer (Rev.2)
70,141450,12.01.2013 01:30,"INSTITUTUL NATIONAL DE CERCETARE-DEZVOLTARE PENTRU FIZICA LASERILOR, PLASMEI SI RADIATIEI",RO 9052135,Ilfov,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"1,064,290.00",RON,Offline,DA,NU,38433000-9,Spectrometre (Rev.2)
71,141468,12.01.2013 01:30,Spitalul Clinic de Urgenta Bagdasar-Arseni,4943871,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"33,812,292.58",RON,Online,DA,NU,33690000-3,Diverse medicamente (Rev.2)
72,141452,12.01.2013 01:30,ADMINISTRATIA NATIONALA  APELE ROMANE,RO 24326056,Bucuresti,Furnizare,NU,Licitatie deschisa,Oferta cea mai avantajoasa d.p.d.v. economic,"4,364,516.10",RON,Offline,DA,DA,34513550-6,Nave hidrografice (Rev.2)
73,141458,12.01.2013 01:30,APA - CANAL S.A. SIBIU,RO 2684940,Sibiu,Lucrari,DA,Licitatie deschisa,Pretul cel mai scazut,"57,846,054.21",RON,Offline,DA,DA,45231300-8,Lucrari de constructii de conducte de apa si de canalizare a apelor reziduale la mare distanta (Rev.2)
74,141455,12.01.2013 01:30,COMPANIA NATIONALA DE AUTOSTRAZI SI DRUMURI NATIONALE DIN ROMANIA SA,16054368,Bucuresti,Servicii,NU,Negociere accelerata,Pretul cel mai scazut,"4,387,672.00",RON,Offline,DA,NU,90620000-9,Servicii de deszapezire (Rev.2)
75,141459,12.01.2013 01:30,COMPANIA NATIONALA ADMINISTRATIA CANALELOR NAVIGABILE SA CONSTANTA,RO 11087755,Constanta,Servicii,DA,Licitatie deschisa,Oferta cea mai avantajoasa d.p.d.v. economic,"11,787,228.00",RON,Offline,DA,DA,71530000-2,Servicii de consultanta in constructii (Rev.2)
76,141441,12.01.2013 01:30,AEROPORTUL INTERNATIONAL AVRAM IANCU CLUJ RA,RO2882425,Cluj,Servicii,DA,Licitatie deschisa,Oferta cea mai avantajoasa d.p.d.v. economic,"1,800,000.00",EUR,Offline,DA,DA,79311100-8,Servicii de elaborare de studii (Rev.2)
77,141445,12.01.2013 01:30,Judetul  Mures,4322980,Mures,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"1,061,590.82",RON,Offline,DA,NU,03222321-9,Mere (Rev.2)
78,141449,12.01.2013 01:30,SPITALUL CLINIC JUDETEAN MURES,24014380,Mures,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"893,689.00",RON,Offline,DA,NU,33621400-3,Substituenti de plasma sanguina si solutii pentru perfuzii (Rev.2)
79,141463,12.01.2013 11:12,REGIA NATIONALA A PADURILOR - ROMSILVA RA,RO1590120,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"500,000.00",RON,Offline,NU,NU,18143000-3,Echipamente de protectie (Rev.2)
80,141465,13.01.2013 01:30,Asociatia de Dezvoltare Intercomunitara Stremt-Rimet din judetul Alba,24866757,Alba,Servicii,NU,Licitatie deschisa,Pretul cel mai scazut,"5,032,346.99",RON,Offline,DA,NU,66113000-5,Servicii de acordare de credit (Rev.2)
81,141470,13.01.2013 01:30,INSPECTORATUL GENERAL AL POLITIEI DE FRONTIERA,4193222,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"221,333.00",EUR,Offline,DA,DA,30213100-6,Computere portabile (Rev.2)
82,141464,13.01.2013 01:30,"SNTFC ""CFR CALATORI"" S.A.",RO 11054545,Bucuresti,Servicii,DA,Negociere,Pretul cel mai scazut,"616,094.40",RON,Offline,DA,NU,90917000-8,Servicii de curatare a echipamentului de transport (Rev.2)
83,141469,13.01.2013 01:30,SPITALUL CLINIC JUDETEAN MURES,24014380,Mures,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"937,500.00",RON,Offline,DA,NU,24455000-8,Dezinfectanti (Rev.2)
84,141472,15.01.2013 01:30,MUNICIPIUL TURDA,4378930,Cluj,Servicii,NU,Licitatie deschisa,Pretul cel mai scazut,"575,641.00",RON,Offline,DA,DA,71521000-6,Servicii de supraveghere a santierului (Rev.2)
85,141475,15.01.2013 01:30,Institutul National de Gerontologie si Geriatrie  ANA ASLAN,4283333,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"2,020,248.00",RON,Online,DA,NU,33690000-3,Diverse medicamente (Rev.2)
86,141474,15.01.2013 01:30,"Spitalul Clinic Judetean de Urgenta""Sfantul Apostol Andrei""",3126853,Galati,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"4,400,000.00",RON,Online,DA,NU,33115000-9,Aparate de tomografie (Rev.2)
87,141473,15.01.2013 01:30,ADMINISTRATIA DOMENIULUI PUBLIC SECTOR 1,4602068,Bucuresti,Lucrari,NU,Licitatie deschisa,Pretul cel mai scazut,"222,411,663.00",RON,Offline,DA,NU,45233142-6,Lucrari de reparare a drumurilor (Rev.2)
88,141477,15.01.2013 09:12,REGIA NATIONALA A PADURILOR - ROMSILVA RA,RO1590120,Bucuresti,Servicii,NU,Licitatie deschisa,Pretul cel mai scazut,"28,000.00",RON,Online,NU,NU,66516100-1,Servicii de asigurare de raspundere civila auto (Rev.2)
89,141481,15.01.2013 10:02,REGIA NATIONALA A PADURILOR - ROMSILVA RA,RO1590120,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"63,293.00",RON,Online,NU,NU,24453000-4,Erbicide (Rev.2)
90,141482,15.01.2013 10:03,REGIA NATIONALA A PADURILOR - ROMSILVA RA,RO1590120,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"36,075.00",RON,Online,NU,NU,18831000-3,Incaltaminte cu varf de protectie de metal (Rev.2)
91,141492,15.01.2013 10:04,REGIA NATIONALA A PADURILOR - ROMSILVA RA,RO1590120,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"72,700.00",RON,Offline,NU,NU,35111510-3,Unelte manuale pentru stingerea incendiilor (Rev.2)
92,141483,15.01.2013 10:13,REGIA  AUTONOMA DE TRANSPORT BRASOV,RO 1102556,Brasov,Furnizare,DA,Licitatie deschisa,Pretul cel mai scazut,"1,733,700.00",RON,Offline,NU,NU,09310000-5,Electricitate (Rev.2)
93,141495,15.01.2013 14:01,"Compania Nationala de Cai Ferate ""CFR"" - SA",RO 11054529,Bucuresti,Furnizare,DA,Licitatie deschisa,Pretul cel mai scazut,"330,000.00",RON,Offline,NU,NU,18222100-2,Costume (barbati); taioare (femei) (Rev.2)
94,141484,16.01.2013 01:30,TRANSURBAN S.A.,18171186,Satu Mare,Furnizare,DA,Licitatie deschisa,Pretul cel mai scazut,"3,390,000.00",RON,Offline,DA,NU,09134220-5,Motorina (EN 590) (Rev.2)
95,141496,16.01.2013 01:30,PRIMARIA MUNICIPIULUI ZALAU,4291786,Salaj,Servicii,NU,Negociere accelerata,Pretul cel mai scazut,"1,629,937.50",RON,Offline,DA,NU,66113000-5,Servicii de acordare de credit (Rev.2)
96,141486,16.01.2013 01:30,Orasul Intorsura Buzaului (Consiliul Local - Primaria orasului Intorsura Buzaului),4404370,Covasna,Servicii,NU,Licitatie deschisa,Pretul cel mai scazut,"1,663,241.94",RON,Offline,DA,NU,66113000-5,Servicii de acordare de credit (Rev.2)
97,141478,16.01.2013 01:30,JUDETUL BACAU,5057580,Bacau,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"1,273,944.00",RON,Offline,DA,NU,03222321-9,Mere (Rev.2)
98,141491,16.01.2013 01:30,INSPECTORATUL GENERAL AL POLITIEI DE FRONTIERA,4193222,Bucuresti,Servicii,NU,Licitatie deschisa,Pretul cel mai scazut,"3,633,354.00",EUR,Offline,DA,DA,50241100-7,Servicii de reparare a navelor (Rev.2)
99,141485,16.01.2013 01:30,MINISTERUL APARARII - UNITATEA MILITARA 02523,4183253,Bucuresti,Servicii,NU,Licitatie deschisa,Oferta cea mai avantajoasa d.p.d.v. economic,"1,087,388.00",RON,Offline,DA,NU,71000000-8,"Servicii de arhitectura, de constructii, de inginerie si de inspectie (Rev.2)"
100,141476,16.01.2013 01:30,JUDETUL SALAJ,4494764,Salaj,Servicii,NU,Licitatie deschisa,Pretul cel mai scazut,"440,000.00",RON,Offline,DA,NU,71319000-7,Servicii de expertiza (Rev.2)
