Nr.crt.,Numar Anunt,Data Publicare,Denumire Autoritate contractanta,CUI,Judet,Tip Contract,Utilitati,Tip Procedura,Criteriu Atribuire,Valoare Estimata,Moneda,Modalitate Desfasurare,Trimis la OJEU,Fonduri Comunitare,Cod CPV,Denumire Cod CPV
11,113716,03.01.2011 11:25,COMUNA BIHARIA,4820305,Bihor,Lucrari,NU,Licitatie restransa,Oferta cea mai avantajoasa d.p.d.v. economic,"9,482,951.00",RON,Offline,NU,DA,45233120-6,Lucrari de constructii de drumuri (Rev.2)
12,113720,03.01.2011 11:42,COMUNA TARCEA (PRIMARIA COMUNEI TARCEA),5199045,Bihor,Lucrari,NU,Licitatie restransa,Oferta cea mai avantajoasa d.p.d.v. economic,"10,120,314.00",RON,Offline,NU,DA,45233120-6,Lucrari de constructii de drumuri (Rev.2)
13,113719,03.01.2011 11:51,Comuna Salacea,4784300,Bihor,Lucrari,NU,Licitatie restransa,Oferta cea mai avantajoasa d.p.d.v. economic,"9,449,367.00",RON,Offline,NU,DA,45233120-6,Lucrari de constructii de drumuri (Rev.2)
14,113724,03.01.2011 11:59,HIDROELECTRICA SA,RO 13267213,Bucuresti,Furnizare,DA,Licitatie deschisa,Pretul cel mai scazut,"1,147,810.00",RON,Offline,NU,NU,24000000-4,Produse chimice (Rev.2)
15,113702,03.01.2011 11:59,COMUNA VATRA MOLDOVITEI,4326680,Suceava,Lucrari,NU,Licitatie deschisa,Oferta cea mai avantajoasa d.p.d.v. economic,"9,250,425.00",RON,Offline,NU,DA,45233120-6,Lucrari de constructii de drumuri (Rev.2)
16,113753,03.01.2011 12:33,Municipiul Timisoara,14756536,Timis,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"31,929.70",RON,Offline,NU,NU,33100000-1,Echipamente medicale (Rev.2)
17,113708,03.01.2011 12:35,Municipiul Slatina,4394811,Olt,Lucrari,NU,Licitatie deschisa,Oferta cea mai avantajoasa d.p.d.v. economic,"9,816,601.14",RON,Offline,NU,DA,45233140-2,Lucrari de drumuri (Rev.2)
18,113718,03.01.2011 12:42,COMUNA CURTUISENI (PRIMARIA COMUNEI CURTUISENI),4856066,Bihor,Lucrari,NU,Licitatie restransa,Oferta cea mai avantajoasa d.p.d.v. economic,"10,015,018.00",RON,Offline,NU,DA,45233120-6,Lucrari de constructii de drumuri (Rev.2)
19,113743,03.01.2011 13:48,Comuna Brestovat (Primaria Comunei Brestovat),2512554,Timis,Lucrari,NU,Licitatie deschisa,Oferta cea mai avantajoasa d.p.d.v. economic,"8,730,155.00",RON,Offline,NU,DA,45233120-6,Lucrari de constructii de drumuri (Rev.2)
20,113740,03.01.2011 16:43,REGIA AUTONOMA DE TRANSPORT CRAIOVA,RO 2315129,Dolj,Furnizare,DA,Licitatie deschisa,Pretul cel mai scazut,"280,000.00",EUR,Offline,NU,NU,34144000-8,Autovehicule cu utilizare speciala (Rev.2)
21,113715,03.01.2011 16:43,PRIMARIA ABRAMUT,5431691,Bihor,Lucrari,NU,Licitatie restransa,Oferta cea mai avantajoasa d.p.d.v. economic,"9,791,121.00",RON,Offline,NU,DA,45233120-6,Lucrari de constructii de drumuri (Rev.2)
22,113722,03.01.2011 16:52,COMUNA PERICEI,4495018,Salaj,Lucrari,NU,Licitatie restransa,Oferta cea mai avantajoasa d.p.d.v. economic,"10,168,767.00",RON,Offline,NU,DA,45233120-6,Lucrari de constructii de drumuri (Rev.2)
23,113707,04.01.2011 01:30,MUNICIPIUL BUCURESTI,4267117,Bucuresti,Furnizare,NU,Licitatie deschisa,Oferta cea mai avantajoasa d.p.d.v. economic,"4,400,000.00",EUR,Offline,DA,NU,38500000-0,Aparate de control si de testare (Rev.2)
24,113710,04.01.2011 01:30,Municipiul Slatina,4394811,Olt,Lucrari,NU,Licitatie restransa,Oferta cea mai avantajoasa d.p.d.v. economic,"68,256,370.00",RON,Offline,DA,NU,45212000-6,"Lucrari de constructii de cladiri destinate activitatilor de recreere, sportive, culturale, de cazare si restaurante (Rev.2)"
25,113744,04.01.2011 01:30,Regia Autonoma Administratia Patrimoniului Protocolului de Stat Bucuresti,RO 2351555,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"1,017,549.00",RON,Offline,DA,NU,09134200-9,Motorina (Rev.2)
26,113730,04.01.2011 01:30,Municipiul Blaj,RO 4563007,Alba,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"700,000.00",RON,Offline,DA,NU,44113120-2,Dale de pavare (Rev.2)
27,113712,04.01.2011 01:30,Municipiul Iasi,4541580,Iasi,Servicii,NU,Licitatie deschisa,Pretul cel mai scazut,"703,601.00",RON,Offline,DA,DA,71520000-9,Servicii de supraveghere a lucrarilor (Rev.2)
28,113739,04.01.2011 01:30,ELECTRICA S.A.,RO  13267221,Bucuresti,Servicii,DA,Negociere,Pretul cel mai scazut,"77,400,000.00",RON,Offline,DA,NU,79824000-6,Servicii de tiparire si de distributie (Rev.2)
29,113703,04.01.2011 01:30,MUNICIPIUL BUCURESTI,4267117,Bucuresti,Lucrari,NU,Licitatie deschisa,Oferta cea mai avantajoasa d.p.d.v. economic,"36,709,572.90",RON,Offline,DA,NU,71322000-1,Servicii de proiectare tehnica pentru constructia de lucrari publice (Rev.2)
30,113757,04.01.2011 01:30,ADMINISTRATIA BAZINALA DE APA  SOMES TISA,RO 18269681,Cluj,Servicii,NU,Licitatie deschisa,Oferta cea mai avantajoasa d.p.d.v. economic,"1,150,000.00",RON,Offline,DA,NU,71322000-1,Servicii de proiectare tehnica pentru constructia de lucrari publice (Rev.2)
31,113754,04.01.2011 01:30,ADMINISTRATIA BAZINALA DE APA  SOMES TISA,RO 18269681,Cluj,Servicii,NU,Licitatie deschisa,Oferta cea mai avantajoasa d.p.d.v. economic,"5,098,000.00",RON,Offline,DA,NU,71322000-1,Servicii de proiectare tehnica pentru constructia de lucrari publice (Rev.2)
32,113756,04.01.2011 01:30,ADMINISTRATIA BAZINALA DE APA  SOMES TISA,RO 18269681,Cluj,Servicii,NU,Licitatie deschisa,Oferta cea mai avantajoasa d.p.d.v. economic,"1,045,000.00",RON,Offline,DA,NU,71322000-1,Servicii de proiectare tehnica pentru constructia de lucrari publice (Rev.2)
33,113742,04.01.2011 01:30,INSPECTORATUL GENERAL AL POLITIEI ROMANE,4453144,Bucuresti,Servicii,NU,Licitatie deschisa,Pretul cel mai scazut,"7,989,800.00",RON,Offline,DA,DA,72211000-7,Servicii de programare de sisteme informatice si software utilitare (Rev.2)
34,113741,04.01.2011 01:30,INSPECTORATUL GENERAL AL POLITIEI ROMANE,4453144,Bucuresti,Servicii,NU,Licitatie deschisa,Pretul cel mai scazut,"12,246,500.00",RON,Offline,DA,DA,72211000-7,Servicii de programare de sisteme informatice si software utilitare (Rev.2)
35,113750,04.01.2011 09:09,S.C. AQUA NOVA HARGITA S.R.L.,RO 18246807,Harghita,Lucrari,DA,Licitatie deschisa,Oferta cea mai avantajoasa d.p.d.v. economic,"2,805,875.00",EUR,Offline,NU,NU,45252120-5,Lucrari de constructii de instalatii de tratare a apelor (Rev.2)
36,113762,04.01.2011 09:46,COMUNA VERBITA (CONSILIUL LOCAL VERBITA),4554033,Dolj,Lucrari,NU,Licitatie deschisa,Oferta cea mai avantajoasa d.p.d.v. economic,"8,217,794.00",RON,Offline,NU,DA,45232150-8,Lucrari pentru conducte de alimentare cu apa (Rev.2)
37,113767,04.01.2011 10:43,COMPANIA DE APA ORADEA S.A.,RO5476,Bihor,Furnizare,DA,Licitatie deschisa,Pretul cel mai scazut,"774,000.00",RON,Offline,NU,NU,34223200-8,Autocisterne (Rev.2)
38,113769,04.01.2011 10:46,COMUNA CURTEA (PRIMARIA COMUNEI CURTEA JUD. TIMIS),4357856,Timis,Lucrari,NU,Licitatie deschisa,Oferta cea mai avantajoasa d.p.d.v. economic,"9,369,305.00",RON,Offline,NU,DA,45233120-6,Lucrari de constructii de drumuri (Rev.2)
39,113728,04.01.2011 11:01,SOCIETATEA NATIONALA A LIGNITULUI OLTENIA S.A. TG-JIU,RO16306589,Gorj,Servicii,DA,Licitatie deschisa,Pretul cel mai scazut,"841,100.00",RON,Offline,NU,NU,77211300-5,Servicii de defrisare (Rev.2)
40,113775,04.01.2011 15:03,SPITALUL UNIVERSITAR DE URGENTA BUCURESTI,4283570,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"236,479.32",RON,Offline,NU,NU,33621400-3,Substituenti de plasma sanguina si solutii pentru perfuzii (Rev.2)
41,113782,04.01.2011 15:46,SPITALUL UNIVERSITAR DE URGENTA BUCURESTI,4283570,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"407,347.60",RON,Offline,NU,NU,33622100-7,Medicamente utilizate in cardiologie (Rev.2)
42,113783,04.01.2011 15:49,E. ON MOLDOVA DISTRIBUTIE S.A.,RO 14493197,Iasi,Lucrari,DA,Negociere,Oferta cea mai avantajoasa d.p.d.v. economic,"367,245.27",RON,Offline,NU,NU,45231400-9,Lucrari de constructii de linii electrice (Rev.2)
43,113786,04.01.2011 16:03,PENITENCIARUL CU REGIM INCHIS BISTRITA,24957022,Bistrita-Nasaud,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"220,000.00",RON,Online,NU,NU,15113000-3,Carne de porc (Rev.2)
44,113788,04.01.2011 16:25,"ASOCIATIA DE DEZVOLTARE INTERCOMUNITARA ""TRANSILVANIA DE NORD""",25424915,Cluj,Servicii,NU,Licitatie deschisa,Pretul cel mai scazut,"408,000.00",RON,Offline,NU,DA,79212000-3,Servicii de auditare (Rev.2)
45,113787,05.01.2011 01:30,Fundatia SNAGOV,22911517,Ilfov,Servicii,NU,Licitatie deschisa,Oferta cea mai avantajoasa d.p.d.v. economic,"862,206.00",RON,Offline,DA,DA,90713000-8,Servicii de consultanta in probleme de mediu (Rev.2)
46,113771,05.01.2011 01:30,ADMINISTRATIA BAZINALA DE APA  SOMES TISA,RO 18269681,Cluj,Servicii,NU,Licitatie deschisa,Oferta cea mai avantajoasa d.p.d.v. economic,"3,170,000.00",RON,Offline,DA,NU,71322000-1,Servicii de proiectare tehnica pentru constructia de lucrari publice (Rev.2)
47,113725,05.01.2011 01:30,JUDETUL HARGHITA,4245763,Harghita,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"3,796,420.00",RON,Offline,DA,DA,33100000-1,Echipamente medicale (Rev.2)
48,113738,05.01.2011 01:30,MUNICIPIUL BRAILA,4205670,Braila,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"2,758,103.90",RON,Offline,DA,DA,35125300-2,Camere video de securitate (Rev.2)
49,113764,05.01.2011 01:30,Complexul Energetic Turceni S.A.,R 16302447,Gorj,Furnizare,DA,Licitatie deschisa,Pretul cel mai scazut,"2,193,920.22",RON,Offline,DA,NU,15551000-5,Iaurt si alte produse lactate fermentate (Rev.2)
50,113800,05.01.2011 15:01,Administratia Domeniului Public Pitesti,RO 4122213,Arges,Lucrari,NU,Licitatie deschisa,Oferta cea mai avantajoasa d.p.d.v. economic,"7,500,000.00",RON,Offline,NU,NU,45233142-6,Lucrari de reparare a drumurilor (Rev.2)
51,113805,05.01.2011 15:36,SPITALUL UNIVERSITAR DE URGENTA BUCURESTI,4283570,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"516,620.40",RON,Offline,NU,NU,33612000-3,Medicamente impotriva tulburarilor gastrointestinale functionale (Rev.2)
52,113806,05.01.2011 15:38,SPITALUL UNIVERSITAR DE URGENTA BUCURESTI,4283570,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"476,097.60",RON,Offline,NU,NU,33621100-0,Antitrombotice (Rev.2)
53,113804,05.01.2011 15:43,SPITALUL UNIVERSITAR DE URGENTA BUCURESTI,4283570,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"491,926.60",RON,Offline,NU,NU,33661700-8,Alte medicamente pentru sistemul nervos (Rev.2)
54,113807,05.01.2011 16:38,PRIMARIA TICUS,4801400,Brasov,Lucrari,NU,Licitatie deschisa,Oferta cea mai avantajoasa d.p.d.v. economic,"9,080,875.00",RON,Offline,NU,DA,45233142-6,Lucrari de reparare a drumurilor (Rev.2)
55,113794,06.01.2011 01:30,Asociatia Vinca Minor,18190315,Covasna,Servicii,NU,Licitatie deschisa,Oferta cea mai avantajoasa d.p.d.v. economic,"1,134,000.00",RON,Offline,DA,DA,79311100-8,Servicii de elaborare de studii (Rev.2)
56,113799,06.01.2011 01:30,MUNICIPIUL PLOIESTI,2844855,Prahova,Lucrari,NU,Licitatie deschisa,Pretul cel mai scazut,"52,543,753.00",RON,Offline,DA,NU,45233300-2,"Lucrari de fundatie pentru autostrazi, sosele, drumuri si trotuare (Rev.2)"
57,113784,06.01.2011 01:30,ADMINISTRATIA BAZINALA DE APA  SOMES TISA,RO 18269681,Cluj,Lucrari,NU,Licitatie deschisa,Oferta cea mai avantajoasa d.p.d.v. economic,"101,340,000.00",RON,Offline,DA,NU,45200000-9,Lucrari de constructii complete sau partiale si lucrari publice (Rev.2)
58,113758,06.01.2011 01:30,ASOCIATIA DE DEZVOLTARE INTERCOMUNITARA SUD VEST OLTENIA,23788928,Dolj,Furnizare,NU,Licitatie deschisa,Oferta cea mai avantajoasa d.p.d.v. economic,"8,419,328.00",RON,Offline,DA,DA,34144210-3,Vehicule de pompieri (Rev.2)
59,113792,06.01.2011 01:30,S.C RAJA S.A CONSTANTA,r1890420,Constanta,Lucrari,DA,Licitatie deschisa,Pretul cel mai scazut,"43,722,021.00",RON,Offline,DA,DA,71322000-1,Servicii de proiectare tehnica pentru constructia de lucrari publice (Rev.2)
60,113827,06.01.2011 10:16,COMUNA BLAJEL (PRIMARIA COMUNEI BLAJEL),4241168,Sibiu,Lucrari,NU,Licitatie deschisa,Oferta cea mai avantajoasa d.p.d.v. economic,"7,181,070.00",RON,Offline,NU,DA,45232400-6,Lucrari de constructii de canalizare de ape reziduale (Rev.2)
61,113802,06.01.2011 11:28,MUNICIPIUL VASLUI,R3337532,Vaslui,Servicii,NU,Licitatie deschisa,Oferta cea mai avantajoasa d.p.d.v. economic,"411,249.40",RON,Offline,NU,DA,79411000-8,Servicii generale de consultanta in management (Rev.2)
62,113837,06.01.2011 14:00,"SNTFC ""CFR CALATORI"" S.A.",RO 11054545,Bucuresti,Servicii,DA,Licitatie deschisa,Pretul cel mai scazut,"166,782.00",RON,Offline,NU,NU,90917000-8,Servicii de curatare a echipamentului de transport (Rev.2)
63,113798,06.01.2011 14:19,COMPANIA DE APA TARGOVISTE- DAMBOVITA,RO 10084149,Dambovita,Furnizare,DA,Licitatie deschisa,Pretul cel mai scazut,"700,000.00",RON,Offline,NU,NU,09130000-9,Petrol si produse distilate (Rev.2)
64,113832,06.01.2011 15:42,"MINISTERUL ECONOMIEI,COMERTULUI SI TURISMULUI",24931499,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"90,000.00",RON,Offline,NU,DA,30213300-8,Computer de birou (Rev.2)
65,113854,06.01.2011 16:39,SPITALUL UNIVERSITAR DE URGENTA BUCURESTI,4283570,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"233,922.00",RON,Offline,NU,NU,33622800-4,Medicamente pentru sistemul renin-angiotensin (Rev.2)
66,113853,06.01.2011 16:55,SPITALUL UNIVERSITAR DE URGENTA BUCURESTI,4283570,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"482,939.60",RON,Offline,NU,NU,33622300-9,Diuretice (Rev.2)
67,113852,06.01.2011 16:56,SPITALUL UNIVERSITAR DE URGENTA BUCURESTI,4283570,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"533,587.12",RON,Offline,NU,NU,33651200-0,Antimicotice pentru uz sistemic (Rev.2)
68,113821,07.01.2011 01:30,ADMINISTRATIA IMOBILIARA ORADEA,RO 21982927,Bihor,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"1,048,387.00",RON,Offline,DA,NU,34927000-1,Aparate de taxare (Rev.2)
69,113816,07.01.2011 01:30,AUTORITATEA  ELECTORALA  PERMANENTA,16460641,Bucuresti,Servicii,NU,Licitatie deschisa,Oferta cea mai avantajoasa d.p.d.v. economic,"12,276,219.20",RON,Online,DA,NU,72212000-4,Servicii de programare de software de aplicatie (Rev.2)
70,113768,07.01.2011 01:30,INSPECTORATUL SCOLAR AL JUDETULUI ILFOV,10276616,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"2,030,550.00",RON,Offline,DA,DA,48821000-9,Servere de retea (Rev.2)
71,113859,07.01.2011 01:30,SPITALUL UNIVERSITAR DE URGENTA BUCURESTI,4283570,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"723,552.70",RON,Offline,DA,NU,33612000-3,Medicamente impotriva tulburarilor gastrointestinale functionale (Rev.2)
72,113849,07.01.2011 01:30,SPITALUL CLINIC COLTEA,4192960,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"20,700,626.89",RON,Offline,DA,NU,33652000-5,Antineoplazice si imunomodulatoare (Rev.2)
73,113801,07.01.2011 01:30,JUDETUL HARGHITA,4245763,Harghita,Servicii,NU,Licitatie restransa accelerata,Oferta cea mai avantajoasa d.p.d.v. economic,"24,246,000.00",RON,Offline,DA,NU,79400000-8,Consultanta in afaceri si in management si servicii conexe (Rev.2)
74,113830,07.01.2011 01:30,Ministerul Dezvoltarii Regionale si Administratiei Publice,26369185,Bucuresti,Servicii,NU,Licitatie restransa accelerata,Oferta cea mai avantajoasa d.p.d.v. economic,"11,077,983.87",RON,Offline,DA,DA,79419000-4,Servicii de consultanta in domeniul evaluarii (Rev.2)
75,113842,07.01.2011 09:55,S.C. SALUBRITATE CRAIOVA,RO27969145,Dolj,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"94,300.00",RON,Offline,NU,NU,09132100-4,Benzina fara plumb (Rev.2)
76,113867,07.01.2011 10:09,"Spitalul Clinic Judetean de Urgenta""Sfantul Apostol Andrei""",3126853,Galati,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"1,242.00",RON,Online,NU,NU,33696200-7,Reactivi pentru analize de sange (Rev.2)
77,113864,07.01.2011 10:52,PRIMARIA OCNELE MARI,2540899,Valcea,Lucrari,NU,Licitatie deschisa,Oferta cea mai avantajoasa d.p.d.v. economic,"5,472,297.87",RON,Offline,NU,DA,45200000-9,Lucrari de constructii complete sau partiale si lucrari publice (Rev.2)
78,113855,07.01.2011 11:02,REGIA AUTONOMA PENTRU ACTIVITATI NUCLEARE,RO10882752,Mehedinti,Lucrari,DA,Licitatie deschisa,Pretul cel mai scazut,"1,673,300.00",RON,Offline,NU,NU,45252127-4,Lucrari de constructii de statii de tratare a apelor reziduale (Rev.2)
79,113875,07.01.2011 11:35,TRANSPORT CALATORI EXPRESS SA PLOIESTI,1355770,Prahova,Furnizare,DA,Licitatie deschisa,Pretul cel mai scazut,"815,500.00",RON,Online,NU,NU,09133000-0,Gaz petrolier lichefiat (GPL) (Rev.2)
80,113847,08.01.2011 01:30,JUDETUL SATU MARE,3897378,Satu Mare,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"11,714,310.00",RON,Offline,DA,NU,34144510-6,Vehicule pentru transportul deseurilor menajere (Rev.2)
81,113869,08.01.2011 01:30,COMPLEXUL ENERGETIC ROVINARI SA,RO16302439,Gorj,Lucrari,DA,Negociere,Oferta cea mai avantajoasa d.p.d.v. economic,"244,782,219.00",RON,Offline,DA,NU,45253200-7,Lucrari de constructii de statii de desulfurare (Rev.2)
82,113856,08.01.2011 01:30,ORAS TECHIRGHIOL,4300540,Constanta,Servicii,NU,Licitatie deschisa,Oferta cea mai avantajoasa d.p.d.v. economic,"539,369.86",RON,Offline,DA,DA,79341000-6,Servicii de publicitate (Rev.2)
83,113868,08.01.2011 01:30,"Ministerul Mediului, Apelor si Padurilor",16335444,Bucuresti,Servicii,NU,Licitatie deschisa,Pretul cel mai scazut,"2,157,034.40",RON,Online,DA,DA,72212900-8,Diverse servicii de dezvoltare de software si sisteme informatice (Rev.2)
84,113877,10.01.2011 09:40,MUNICIPIUL VASLUI,R3337532,Vaslui,Servicii,NU,Licitatie deschisa,Oferta cea mai avantajoasa d.p.d.v. economic,"18,000.00",RON,Offline,NU,DA,79411000-8,Servicii generale de consultanta in management (Rev.2)
85,113831,10.01.2011 09:41,R.A. ROMATSA - ADMINISTRATIA ROMANA A SERVICIILOR DE TRAFIC AERIAN,R 1589932,Bucuresti,Furnizare,DA,Licitatie deschisa,Pretul cel mai scazut,"280,000.00",RON,Offline,NU,NU,48820000-2,Servere (Rev.2)
86,113840,10.01.2011 09:53,CAMERA DE COMERT SI INDUSTRIE SUCEAVA,4030705,Suceava,Servicii,NU,Licitatie deschisa,Pretul cel mai scazut,"112,700.00",RON,Offline,NU,DA,79823000-9,Servicii de tiparire si de livrare (Rev.2)
87,113871,10.01.2011 12:07,COMPLEXUL ENERGETIC ROVINARI SA,RO16302439,Gorj,Furnizare,DA,Licitatie deschisa,Pretul cel mai scazut,"530,000.00",RON,Offline,NU,NU,42130000-9,"Robinete, vane si dispozitive similare (Rev.2)"
88,113890,10.01.2011 13:56,GOSCOM VASLUI SA,RO 11711432,Vaslui,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"124,000.00",EUR,Offline,NU,NU,09134200-9,Motorina (Rev.2)
89,113884,11.01.2011 01:30,COMUNA BELTIUG (CONSILIUL LOCAL BELTIUG),3896534,Satu Mare,Servicii,NU,Licitatie deschisa,Oferta cea mai avantajoasa d.p.d.v. economic,"610,500.00",RON,Offline,DA,NU,90511000-2,Servicii de colectare a deseurilor menajere (Rev.2)
90,113911,11.01.2011 09:26,MUNICIPIUL DEJ,4349179,Cluj,Lucrari,NU,Licitatie deschisa,Pretul cel mai scazut,"5,206,000.00",RON,Offline,NU,NU,45213141-3,Lucrari de constructii de piete acoperite (Rev.2)
91,113924,11.01.2011 10:25,Federatia Romana de Tenis,5219525,Bucuresti,Servicii,NU,Negociere,Pretul cel mai scazut,"302,000.00",RON,Offline,NU,NU,60410000-5,Servicii de transport aerian pe baza de grafic (Rev.2)
92,113883,11.01.2011 12:06,MUNICIPIUL DEJ,4349179,Cluj,Servicii,NU,Licitatie deschisa,Pretul cel mai scazut,"210,000.00",RON,Offline,NU,DA,71520000-9,Servicii de supraveghere a lucrarilor (Rev.2)
93,113947,11.01.2011 12:22,Complexul Energetic Turceni S.A.,R 16302447,Gorj,Servicii,DA,Licitatie deschisa,Pretul cel mai scazut,"20,000.00",RON,Offline,NU,NU,50112200-5,Servicii de intretinere a automobilelor (Rev.2)
94,113909,11.01.2011 12:26,COMPANIA NATIONALA DE AUTOSTRAZI SI DRUMURI NATIONALE DIN ROMANIA SA,16054368,Bucuresti,Lucrari,NU,Licitatie deschisa,Oferta cea mai avantajoasa d.p.d.v. economic,"710,031.70",RON,Offline,NU,NU,45221110-6,Lucrari de constructii de poduri (Rev.2)
95,113945,11.01.2011 12:32,COMPANIA NATIONALA DE AUTOSTRAZI SI DRUMURI NATIONALE DIN ROMANIA SA,16054368,Bucuresti,Lucrari,NU,Licitatie deschisa,Oferta cea mai avantajoasa d.p.d.v. economic,"684,897.01",RON,Offline,NU,NU,45221110-6,Lucrari de constructii de poduri (Rev.2)
96,113858,11.01.2011 14:06,MUNICIPIUL VASLUI,R3337532,Vaslui,Servicii,NU,Licitatie deschisa,Oferta cea mai avantajoasa d.p.d.v. economic,"54,087.00",RON,Offline,NU,DA,79411000-8,Servicii generale de consultanta in management (Rev.2)
97,113882,11.01.2011 14:43,SPITALUL UNIVERSITAR DE URGENTA BUCURESTI,4283570,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"515,951.70",RON,Offline,NU,NU,33616000-1,Vitamine (Rev.2)
98,113957,11.01.2011 14:58,Comuna Baia de Cris,4374008,Hunedoara,Lucrari,NU,Licitatie deschisa,Oferta cea mai avantajoasa d.p.d.v. economic,"7,488,601.00",RON,Offline,NU,DA,45232411-6,Lucrari de constructii de canalizari de ape reziduale (Rev.2)
99,113955,11.01.2011 15:02,Orasul Zimnicea,4652732,Teleorman,Lucrari,NU,Licitatie deschisa,Pretul cel mai scazut,"1,942,170.00",RON,Offline,NU,DA,45215200-9,Constructie de cladiri pentru servicii sociale (Rev.2)
100,113929,12.01.2011 01:30,COMUNA BROSTENI ( PRIMARIA BROSTENI),8845957,Mehedinti,Furnizare,NU,Licitatie deschisa,Oferta cea mai avantajoasa d.p.d.v. economic,"858,583.00",RON,Offline,DA,DA,43210000-8,Utilaje pentru terasamente (Rev.2)
