Nr.crt.,Numar Anunt,Data Publicare,Denumire Autoritate contractanta,CUI,Judet,Tip Contract,Utilitati,Tip Procedura,Criteriu Atribuire,Valoare Estimata,Moneda,Modalitate Desfasurare,Trimis la OJEU,Fonduri Comunitare,Cod CPV,Denumire Cod CPV
20,132535,05.01.2012 01:30,ASOCIATIA PENTRU PROMOVAREA FEMEII DIN ROMANIA,12917717,Timis,Servicii,NU,Licitatie deschisa,Oferta cea mai avantajoasa d.p.d.v. economic,"348,000.00",RON,Offline,DA,DA,55270000-3,Servicii prestate de pensiuni care ofera cazare cu mic dejun inclus (Rev.2)
21,132548,05.01.2012 01:30,ORASUL FLAMANZI,3372173,Botosani,Furnizare,NU,Licitatie deschisa,Oferta cea mai avantajoasa d.p.d.v. economic,"815,603.00",RON,Offline,DA,DA,32323500-8,Sistem video de supraveghere (Rev.2)
22,132489,05.01.2012 01:30,INSTITUTUL ONCOLOGIC PROF DR ALEXANDRU TRESTIOREANU,4203709,Bucuresti,Servicii,NU,Licitatie deschisa,Pretul cel mai scazut,"1,856,000.00",RON,Offline,DA,NU,90524400-0,"Servicii de colectare, de transport si de eliminare a deseurilor spitalicesti (Rev.2)"
23,132545,05.01.2012 01:30,Sectorul 2 al Municipiului Bucuresti,4204038,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"1,431,452.00",RON,Offline,DA,NU,48311100-2,Sistem de gestionare a documentelor (Rev.2)
24,132530,05.01.2012 01:30,"SPITALUL CLINIC DE NEFROLOGIE ""DR. CAROL DAVILA""",4382469,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"15,488,988.39",RON,Offline,DA,NU,33100000-1,Echipamente medicale (Rev.2)
25,132581,05.01.2012 01:30,INSPECTORATUL GENERAL AL POLITIEI DE FRONTIERA,4193222,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"1,405,405.00",RON,Offline,DA,NU,30125110-5,Toner pentru imprimantele laser/faxuri (Rev.2)
26,132497,05.01.2012 01:30,Banca Nationala a Romaniei,R 361684,Bucuresti,Servicii,NU,Licitatie deschisa,Pretul cel mai scazut,"679,920.00",EUR,Offline,DA,NU,64214400-3,Inchiriere de linii terestre de comunicatii (Rev.2)
27,132528,05.01.2012 01:30,JUDETUL TULCEA,4321607,Tulcea,Servicii,NU,Licitatie deschisa,Pretul cel mai scazut,"564,516.12",RON,Offline,DA,NU,71322500-6,Servicii de proiectare tehnica pentru infrastructura de transport (Rev.2)
28,132552,05.01.2012 10:46,SOCIETATEA ROMÂNA DE TELEVIZIUNE,R 8468440,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"430,000.00",RON,Offline,NU,NU,42512300-1,Unitati de climatizare (Rev.2)
29,132547,05.01.2012 10:51,Societatea Nationala de Gaze Naturale Romgaz S.A.,RO 14056826,Sibiu,Furnizare,DA,Licitatie deschisa,Pretul cel mai scazut,"148,432.00",RON,Offline,NU,NU,14211000-3,Nisip (Rev.2)
30,132551,05.01.2012 10:57,"Spitalul Universitar de Urgenta Militar Central ""Dr. Carol Davila""",4364594,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"434,800.00",RON,Offline,NU,NU,44112230-9,Linoleum (Rev.2)
31,132558,05.01.2012 11:01,CONSILIUL JUDETEAN BRAILA,4205491,Braila,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"8,361.69",RON,Offline,NU,DA,33100000-1,Echipamente medicale (Rev.2)
32,132557,05.01.2012 11:26,MINISTERUL APARARII - UNITATEA MILITARA 02574,4193125,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"379,375.00",RON,Offline,NU,NU,15612150-7,Faina de patiserie (Rev.2)
33,132554,05.01.2012 11:48,MINISTERUL APARARII - UNITATEA MILITARA 02574,4193125,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"373,630.00",RON,Offline,NU,NU,03142500-3,Oua (Rev.2)
34,132562,05.01.2012 11:55,MINISTERUL APARARII - UNITATEA MILITARA 02574,4193125,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"399,423.75",RON,Offline,NU,NU,15331500-2,Legume conservate in otet (Rev.2)
35,132566,05.01.2012 11:59,MINISTERUL APARARII - UNITATEA MILITARA 02574,4193125,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"388,410.65",RON,Offline,NU,NU,15331425-2,Piure de tomate (Rev.2)
36,132565,05.01.2012 12:07,Autoritatea Nationala pentru Administrare si Reglementare in Comunicatii,14751237,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"71,570.00",RON,Offline,NU,NU,38341300-0,Instrumente de masurare a marimilor electrice (Rev.2)
37,132564,05.01.2012 12:19,"SNTFC ""CFR CALATORI"" S.A.",RO 11054545,Bucuresti,Lucrari,DA,Licitatie deschisa,Pretul cel mai scazut,"17,000.00",RON,Offline,NU,NU,45234113-1,Demolare de linii de cale ferata (Rev.2)
38,132536,05.01.2012 12:19,Electrocentrale Bucuresti S.A.,RO 15189596,Bucuresti,Furnizare,DA,Licitatie deschisa,Pretul cel mai scazut,"1,490,172.00",RON,Offline,NU,NU,24313000-1,"Sulfuri, sulfati, nitrati, fosfati si carbonati (Rev.2)"
39,132549,05.01.2012 16:40,CONSILIUL JUDETEAN BRAILA,4205491,Braila,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"82,330.47",RON,Offline,NU,DA,33112320-7,Aparate Doppler (Rev.2)
40,132573,06.01.2012 01:30,SPITALUL CLINIC DE RECUPERARE IASI,4541092,Iasi,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"658,789.38",RON,Online,DA,NU,15800000-6,Diverse produse alimentare (Rev.2)
41,132578,06.01.2012 01:30,COMPANIA NATIONALA DE AUTOSTRAZI SI DRUMURI NATIONALE DIN ROMANIA SA,16054368,Bucuresti,Servicii,NU,Licitatie deschisa,Pretul cel mai scazut,"4,246,479.86",RON,Offline,DA,NU,60180000-3,Inchiriere de vehicule de transport de marfuri cu sofer (Rev.2)
42,132572,06.01.2012 01:30,Ministerul Dezvoltarii Regionale si Administratiei Publice,26369185,Bucuresti,Lucrari,NU,Licitatie deschisa,Pretul cel mai scazut,"273,612,097.00",RON,Offline,DA,NU,45230000-8,"Lucrari de constructii de conducte, de linii de comunicatii si electrice, de autostrazi, de sosele, de aerodromuri si de cai ferate; lucrari de nivelare (Rev.2)"
43,132582,06.01.2012 01:30,Autoritatea Nationala pentru Administrare si Reglementare in Comunicatii,14751237,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"1,658,740.00",RON,Offline,DA,NU,48463000-1,Pachete software pentru statistici (Rev.2)
44,132569,06.01.2012 01:30,"SNTFC ""CFR CALATORI"" S.A.",RO 11054545,Bucuresti,Servicii,DA,Negociere,Pretul cel mai scazut,"28,379,880.00",RON,Offline,DA,NU,50221000-0,Servicii de reparare si de intretinere a locomotivelor (Rev.2)
45,132576,06.01.2012 01:30,Primaria Municipiului Orastie,4634515,Hunedoara,Servicii,NU,Negociere,Pretul cel mai scazut,"4,346,500.00",RON,Offline,DA,NU,66113000-5,Servicii de acordare de credit (Rev.2)
46,132575,06.01.2012 01:30,Consiliul local al orasului Zlatna,4331031,Alba,Furnizare,NU,Licitatie deschisa,Oferta cea mai avantajoasa d.p.d.v. economic,"2,711,440.00",RON,Offline,DA,NU,42122130-0,Pompe de apa (Rev.2)
47,132579,06.01.2012 01:30,Ministerul Dezvoltarii Regionale si Administratiei Publice,26369185,Bucuresti,Servicii,NU,Licitatie deschisa,Oferta cea mai avantajoasa d.p.d.v. economic,"3,400,000.00",RON,Offline,DA,DA,79311200-9,Servicii de realizare de studii (Rev.2)
48,132533,06.01.2012 01:30,CONSILIUL JUDETEAN PRAHOVA,2842889,Prahova,Lucrari,NU,Licitatie deschisa,Oferta cea mai avantajoasa d.p.d.v. economic,"28,228,302.57",RON,Online,DA,DA,45210000-2,Lucrari de constructii de cladiri (Rev.2)
49,132550,06.01.2012 01:30,Societatea Nationala de Gaze Naturale Romgaz S.A.,RO 14056826,Sibiu,Furnizare,DA,Licitatie deschisa,Pretul cel mai scazut,"3,392,471.00",RON,Offline,DA,NU,30233141-1,Matrice redundanta de discuri independente (RAID) (Rev.2)
50,132571,06.01.2012 01:30,COMPANIA NATIONALA DE INVESTITII,14273221,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"3,419,132.00",RON,Offline,DA,NU,37400000-2,Articole si echipament de sport (Rev.2)
51,132534,06.01.2012 01:30,MINISTERUL AFACERILOR INTERNE,4267095,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"70,500.00",RON,Offline,DA,DA,30125110-5,Toner pentru imprimantele laser/faxuri (Rev.2)
52,132632,06.01.2012 01:30,MINISTERUL AFACERILOR INTERNE,4267095,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"21,358,650.00",RON,Offline,DA,DA,48600000-4,Pachete software pentru baze de date si operare (Rev.2)
53,132597,06.01.2012 09:09,Institutul National de Cercetare Dezvoltare in Domeniul Patologiei si Stiintelor Biomedicale Victor Babes,13828251,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"460,000.00",RON,Offline,NU,DA,33696500-0,Reactivi de laborator (Rev.2)
54,132621,06.01.2012 09:19,ELECTRICA S.A.,RO  13267221,Bucuresti,Servicii,DA,Licitatie deschisa,Pretul cel mai scazut,"994,747.00",RON,Offline,NU,NU,79211000-6,Servicii de contabilitate (Rev.2)
55,132660,06.01.2012 09:40,"SNTFC ""CFR CALATORI"" S.A.",RO 11054545,Bucuresti,Servicii,DA,Negociere,Pretul cel mai scazut,"722,444.00",RON,Offline,NU,NU,50222000-7,Servicii de reparare si de intretinere a materialului rulant (Rev.2)
56,132615,06.01.2012 10:21,Municipiul Blaj,RO 4563007,Alba,Lucrari,NU,Licitatie deschisa,Pretul cel mai scazut,"572,000.00",RON,Offline,NU,NU,45233253-7,Lucrari de imbracare a trotuarelor (Rev.2)
57,132647,06.01.2012 10:27,ENEL DISTRIBUTIE DOBROGEA S.A.,RO 14500308,Constanta,Furnizare,DA,Licitatie deschisa,Pretul cel mai scazut,"560,158.00",RON,Offline,NU,NU,38341300-0,Instrumente de masurare a marimilor electrice (Rev.2)
58,132614,06.01.2012 10:35,INSPECTORATUL DE POLITIE AL JUDETULUI HUNEDOARA,4374342,Hunedoara,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"538,962.00",RON,Offline,NU,NU,30125110-5,Toner pentru imprimantele laser/faxuri (Rev.2)
59,132625,06.01.2012 10:49,"Institutul Regional de Gastroenterologie-Hepatologie ""Prof. Dr. Octavian Fodor"" Cluj",4354523,Cluj,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"478,528.00",RON,Offline,NU,NU,33696500-0,Reactivi de laborator (Rev.2)
60,132612,06.01.2012 10:59,Municipiul Blaj,RO 4563007,Alba,Lucrari,NU,Licitatie deschisa,Pretul cel mai scazut,"457,600.00",RON,Offline,NU,NU,45233253-7,Lucrari de imbracare a trotuarelor (Rev.2)
61,132652,06.01.2012 11:06,"SNTFC ""CFR CALATORI"" S.A.",RO 11054545,Bucuresti,Servicii,DA,Negociere,Pretul cel mai scazut,"448,345.00",RON,Offline,NU,NU,50222000-7,Servicii de reparare si de intretinere a materialului rulant (Rev.2)
62,132589,06.01.2012 11:15,UNIVERSITATEA TRANSILVANIA BRASOV,RO 4317754,Brasov,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"73,500.00",RON,Online,NU,DA,38520000-6,Scanere (Rev.2)
63,132628,06.01.2012 11:20,"Institutul Regional de Gastroenterologie-Hepatologie ""Prof. Dr. Octavian Fodor"" Cluj",4354523,Cluj,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"439,440.00",RON,Offline,NU,NU,33696500-0,Reactivi de laborator (Rev.2)
64,132649,06.01.2012 11:24,"SNTFC ""CFR CALATORI"" S.A.",RO 11054545,Bucuresti,Servicii,DA,Negociere,Pretul cel mai scazut,"434,752.50",RON,Offline,NU,NU,50222000-7,Servicii de reparare si de intretinere a materialului rulant (Rev.2)
65,132592,06.01.2012 11:27,UNIVERSITATEA TRANSILVANIA BRASOV,RO 4317754,Brasov,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"325,000.00",RON,Online,NU,DA,38970000-5,"Simulator tehnic de cercetare, de testare si stiintific (Rev.2)"
66,132623,06.01.2012 11:28,COMPANIA NATIONALA A HUILEI SA,R2135187,Hunedoara,Furnizare,DA,Licitatie deschisa,Pretul cel mai scazut,"430,000.00",RON,Offline,NU,NU,32540000-0,Centrale telefonice interne (Rev.2)
67,132604,06.01.2012 11:33,UNIVERSITATEA TRANSILVANIA BRASOV,RO 4317754,Brasov,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"160,000.00",RON,Online,NU,DA,09332000-5,Instalatie solara (Rev.2)
68,132610,06.01.2012 11:58,Municipiul Blaj,RO 4563007,Alba,Lucrari,NU,Licitatie deschisa,Pretul cel mai scazut,"396,032.00",RON,Offline,NU,NU,45233253-7,Lucrari de imbracare a trotuarelor (Rev.2)
69,132611,06.01.2012 12:05,COMPANIA NATIONALA A HUILEI SA,R2135187,Hunedoara,Furnizare,DA,Licitatie deschisa,Pretul cel mai scazut,"359,000.00",RON,Offline,NU,NU,44163100-1,Tevi (Rev.2)
70,132599,06.01.2012 12:08,UNIVERSITATEA TRANSILVANIA BRASOV,RO 4317754,Brasov,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"80,867.00",RON,Online,NU,DA,38500000-0,Aparate de control si de testare (Rev.2)
71,132673,06.01.2012 12:15,SOCIETATEA NATIONALA A LIGNITULUI OLTENIA S.A. TG-JIU,RO16306589,Gorj,Furnizare,DA,Licitatie deschisa,Pretul cel mai scazut,"580,597.00",RON,Offline,NU,NU,09221100-5,Vaselina (Rev.2)
72,132629,06.01.2012 12:25,"Institutul Regional de Gastroenterologie-Hepatologie ""Prof. Dr. Octavian Fodor"" Cluj",4354523,Cluj,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"357,120.00",RON,Offline,NU,NU,33181520-3,Consumabile pentru dializa renala (Rev.2)
73,132600,06.01.2012 12:30,"SNTFC ""CFR CALATORI"" S.A.",RO 11054545,Bucuresti,Furnizare,DA,Negociere,Pretul cel mai scazut,"1,591,000.00",RON,Offline,NU,NU,48820000-2,Servere (Rev.2)
74,132661,06.01.2012 12:33,"SNTFC ""CFR CALATORI"" S.A.",RO 11054545,Bucuresti,Servicii,DA,Negociere,Pretul cel mai scazut,"1,506,711.00",RON,Offline,NU,NU,50222000-7,Servicii de reparare si de intretinere a materialului rulant (Rev.2)
75,132653,06.01.2012 12:34,"SNTFC ""CFR CALATORI"" S.A.",RO 11054545,Bucuresti,Servicii,DA,Negociere,Pretul cel mai scazut,"1,410,451.15",RON,Offline,NU,NU,50222000-7,Servicii de reparare si de intretinere a materialului rulant (Rev.2)
76,132656,06.01.2012 12:35,"SNTFC ""CFR CALATORI"" S.A.",RO 11054545,Bucuresti,Servicii,DA,Negociere,Pretul cel mai scazut,"1,297,305.00",RON,Offline,NU,NU,50222000-7,Servicii de reparare si de intretinere a materialului rulant (Rev.2)
77,132617,06.01.2012 12:36,"SNTFC ""CFR CALATORI"" S.A.",RO 11054545,Bucuresti,Servicii,DA,Licitatie deschisa,Pretul cel mai scazut,"1,165,915.33",RON,Offline,NU,NU,90917000-8,Servicii de curatare a echipamentului de transport (Rev.2)
78,132616,06.01.2012 13:17,COMPANIA NATIONALA A HUILEI SA,R2135187,Hunedoara,Furnizare,DA,Licitatie deschisa,Pretul cel mai scazut,"287,246.43",RON,Offline,NU,NU,43613100-4,Piese pentru haveze de carbune (Rev.2)
79,132665,06.01.2012 13:42,Ministerul Apararii - Unitatea militara 02415 Bucuresti,4183318,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"185,553.64",RON,Online,NU,NU,32422000-7,Componente de retea (Rev.2)
80,132633,06.01.2012 13:50,MUNICIPIUL BACAU,R4278337,Bacau,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"269,340.50",RON,Online,NU,NU,43325000-7,Echipament pentru parcuri si terenuri de joaca (Rev.2)
81,132640,06.01.2012 13:50,SOCIETATEA NATIONALA A LIGNITULUI OLTENIA S.A. TG-JIU,RO16306589,Gorj,Furnizare,DA,Licitatie deschisa,Pretul cel mai scazut,"1,104,215.00",RON,Offline,NU,NU,09211820-5,Uleiuri minerale (Rev.2)
82,132643,06.01.2012 13:55,COMPANIA NATIONALA A HUILEI SA,R2135187,Hunedoara,Furnizare,DA,Licitatie deschisa,Pretul cel mai scazut,"170,410.00",RON,Offline,NU,NU,09211000-1,Uleiuri lubrifiante si agenti lubrifianti (Rev.2)
83,132613,06.01.2012 14:01,CN Aeroporturi Bucuresti SA,RO26490194,Ilfov,Servicii,DA,Licitatie deschisa,Pretul cel mai scazut,"160,000.00",EUR,Offline,NU,NU,90470000-2,Servicii de curatare a canalelor de ape reziduale (Rev.2)
84,132603,06.01.2012 14:04,COMPANIA NATIONALA A HUILEI SA,R2135187,Hunedoara,Furnizare,DA,Licitatie deschisa,Pretul cel mai scazut,"89,055.00",RON,Offline,NU,NU,35113400-3,Imbracaminte de protectie si de securitate (Rev.2)
85,132642,06.01.2012 14:12,"SNTFC ""CFR CALATORI"" S.A.",RO 11054545,Bucuresti,Servicii,DA,Licitatie deschisa,Pretul cel mai scazut,"88,398.48",RON,Offline,NU,NU,90917000-8,Servicii de curatare a echipamentului de transport (Rev.2)
86,132568,06.01.2012 14:15,ADMINISTRATIA FLUVIALA A DUNARII DE JOS RA GALATI,1644670,Galati,Servicii,DA,Licitatie deschisa,Pretul cel mai scazut,"143,843.00",RON,Offline,NU,DA,71310000-4,Servicii de consultanta in domeniul ingineriei si al constructiilor (Rev.2)
87,132626,06.01.2012 14:17,"Spitalul Universitar de Urgenta Militar Central ""Dr. Carol Davila""",4364594,Bucuresti,Servicii,NU,Licitatie deschisa,Pretul cel mai scazut,"35,040.00",RON,Offline,NU,NU,45259000-7,Reparare si intretinere a echipamentelor (Rev.2)
88,132563,06.01.2012 14:20,UNIVERSITATEA PETROL GAZE PLOIESTI,2844790,Prahova,Furnizare,NU,Negociere,Pretul cel mai scazut,"16,500.00",RON,Offline,NU,DA,48461000-7,Pachete software analitice sau stiintifice (Rev.2)
89,132684,06.01.2012 14:20,Directia Sanitara Veterinara si pentru Siguranta Alimentelor Buzau,4299810,Buzau,Servicii,NU,Licitatie deschisa,Oferta cea mai avantajoasa d.p.d.v. economic,"275,590.30",RON,Offline,NU,NU,85200000-1,Servicii veterinare (Rev.2)
90,132587,06.01.2012 14:25,COMPANIA NATIONALA A HUILEI SA,R2135187,Hunedoara,Furnizare,DA,Licitatie deschisa,Pretul cel mai scazut,"195,000.00",RON,Offline,NU,NU,33711900-6,Sapun (Rev.2)
91,132687,06.01.2012 14:53,UNIVERSITATEA POLITEHNICA DIN BUCURESTI,4183199,Bucuresti,Furnizare,NU,Licitatie deschisa,Pretul cel mai scazut,"300,000.00",RON,Offline,NU,DA,31710000-6,Echipament electronic (Rev.2)
92,132686,06.01.2012 15:31,C.N.POSTA ROMANA S.A.,RO 427410,Bucuresti,Furnizare,DA,Licitatie deschisa,Pretul cel mai scazut,"400,000.00",RON,Online,NU,NU,30237000-9,Piese si accesorii pentru computere (Rev.2)
93,132689,06.01.2012 15:46,MUNICIPIUL MIERCUREA CIUC,4245747,Harghita,Servicii,NU,Licitatie deschisa,Pretul cel mai scazut,"324,900.00",RON,Offline,NU,NU,71220000-6,Servicii de proiectare arhitecturala (Rev.2)
94,132688,06.01.2012 16:31,MUNICIPIUL MIERCUREA CIUC,4245747,Harghita,Lucrari,NU,Licitatie deschisa,Pretul cel mai scazut,"115,000.00",RON,Offline,NU,NU,45453000-7,Lucrari de reparatii generale si de renovare (Rev.2)
95,132674,08.01.2012 01:30,Ministerul Justitiei,4265841,Bucuresti,Furnizare,NU,Licitatie restransa accelerata,Pretul cel mai scazut,"7,016,129.03",RON,Online,DA,NU,48600000-4,Pachete software pentru baze de date si operare (Rev.2)
96,132526,08.01.2012 01:30,ACET S.A. Suceava,RO713519,Suceava,Lucrari,DA,Licitatie deschisa,Oferta cea mai avantajoasa d.p.d.v. economic,"20,972,447.00",RON,Offline,DA,DA,45232420-2,Lucrari de constructii de statii de epurare a apelor reziduale (Rev.2)
97,132606,08.01.2012 01:30,ACET S.A. Suceava,RO713519,Suceava,Lucrari,DA,Licitatie deschisa,Oferta cea mai avantajoasa d.p.d.v. economic,"20,575,618.00",RON,Offline,DA,DA,45232420-2,Lucrari de constructii de statii de epurare a apelor reziduale (Rev.2)
98,132646,08.01.2012 01:30,R.A. ROMATSA - ADMINISTRATIA ROMANA A SERVICIILOR DE TRAFIC AERIAN,R 1589932,Bucuresti,Servicii,DA,Licitatie deschisa,Pretul cel mai scazut,"1,000,000.00",EUR,Offline,DA,NU,66516400-4,Servicii de asigurare de raspundere civila generala (Rev.2)
99,132637,08.01.2012 01:30,AQUAVAS SA VASLUI,RO 17986823,Vaslui,Furnizare,DA,Licitatie deschisa,Oferta cea mai avantajoasa d.p.d.v. economic,"2,862,386.00",RON,Offline,DA,NU,09310000-5,Electricitate (Rev.2)
100,132618,08.01.2012 01:30,"SNTFC ""CFR CALATORI"" S.A.",RO 11054545,Bucuresti,Furnizare,DA,Negociere,Pretul cel mai scazut,"3,159,337.00",RON,Offline,DA,NU,34946240-4,Saboti si saboti-pene (Rev.2)
101,132602,08.01.2012 01:30,Autoritatea Nationala pentru Administrare si Reglementare in Comunicatii,14751237,Bucuresti,Furnizare,NU,Licitatie deschisa,Oferta cea mai avantajoasa d.p.d.v. economic,"705,645.00",RON,Offline,DA,NU,38433300-2,Analizoare de spectru (Rev.2)
